Title,Degree,Supervisor,Link,Year
"Multilevel-Modeling (T.B.D.)",4th-Year B.A. (Hons),Dr. Jason Rights,in prep,2024-2025
"Development of Academic Dishonesty in Childhood: Relationships between Theory of Mind, Agreeableness, and Prosocial Behaviour",3rd-Year B.A. (Hons),Dr. Ann Cameron,https://drive.google.com/file/d/17H6hAsh4fBSuZKm65J9nd1_12kuU0fAt/view?usp=sharing,"2023-2024"
